title,ratings,imdb_rating,imdb_votes,value,metascore,language,short_plot,poster,awards
A Touch of Green,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",,,,,English,"Five daughters send their mothers undercover as 21-year-olds. From dating to working to activism, the mums will be immersed in their world. Can the mums pull off being 21 Again?",,
Abby Hatcher,[],,,,,English,"PAW Patrol and Abby Hatcher team up to save some adorable Fuzzlies from flying away! No Fuzzly's too big, no pup is too small!",https://m.media-amazon.com/images/M/MV5BNTYzYzNkOTUtNDU1My00ODBhLTg0N2EtZjMxNGRkMDdiYTViXkEyXkFqcGdeQXVyMTk1NzIxNzU@._V1_SX300.jpg,
Adú,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",6.8,"5,642",,,"French, English, Spanish","Three people, three stories, one thing in common: Africa.",https://m.media-amazon.com/images/M/MV5BOTgxMGIyMDEtMzgwMi00ZDc5LTljMDktMzZiNWRkNWYyYjZjXkEyXkFqcGc@._V1_SX300.jpg,
Ali Baba ve 7 Cüceler,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,,,,"French, English, Spanish","Three people, three stories, one thing in common: Africa.",https://m.media-amazon.com/images/M/MV5BOTgxMGIyMDEtMzgwMi00ZDc5LTljMDktMzZiNWRkNWYyYjZjXkEyXkFqcGc@._V1_SX300.jpg,
David Foster: Off the Record,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",7.0,693,,,English,"The Victoria, BC-born Foster mixes rare archival footage, interviews and unprecedented access to Foster to chart the career of the multihyphenate who has helped sell more than a half-billion records collaborating with various arti...",https://m.media-amazon.com/images/M/MV5BNDAyZmRlM2YtM2MyNy00MjQ1LTkxYWItYTVlZDJjZDAxOTc2XkEyXkFqcGc@._V1_SX300.jpg,
Double Jeopardy,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",6.5,"100,892",,41.0,English,"Jailed for her Husband's murder, a woman learns he lives.",https://m.media-amazon.com/images/M/MV5BZGFhMzVkYmQtYzI4OS00ZTYxLThjYTItYzZjYzY2OTlkMGQ4XkEyXkFqcGc@._V1_SX300.jpg,
Pek Yakında,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",,,,41.0,English,"Jailed for her Husband's murder, a woman learns he lives.",https://m.media-amazon.com/images/M/MV5BZGFhMzVkYmQtYzI4OS00ZTYxLThjYTItYzZjYzY2OTlkMGQ4XkEyXkFqcGc@._V1_SX300.jpg,
Say I Do,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",7.9,593,,,English,"In this reality show, couples overcome obstacles to celebrate their love in surprise dream weddings designed by three experts in less than a week.",https://m.media-amazon.com/images/M/MV5BZDg5OWNkNGEtYTVlNS00ZWU4LThlM2EtNGQ5ZDAyMzFmZDY1XkEyXkFqcGc@._V1_SX300.jpg,
Stardust,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",7.6,"293,658",,66.0,English,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",https://m.media-amazon.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_SX300.jpg,
The F**k-It List,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",,,,66.0,English,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",https://m.media-amazon.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_SX300.jpg,
The Silence of Others,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",,,,66.0,English,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",https://m.media-amazon.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_SX300.jpg,
Total Recall,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",7.5,"371,849",,60.0,English,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",https://m.media-amazon.com/images/M/MV5BZjRlMzBkOGMtMTA1Ny00ZWI4LTkzMDItOGVkNWJkN2E4ZTkwXkEyXkFqcGc@._V1_SX300.jpg,
Trotro,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",6.3,158,,,French,"Trotro is a little donkey with a head full of ideas. He knows exactly what he likes and doesn't like. He's a positive and engaging hero, with whom young children will easily identify.",https://m.media-amazon.com/images/M/MV5BZmJlODJiN2UtNDZlOS00NjRlLWE1YzQtMGU0YWFkNzM2ZGI0XkEyXkFqcGc@._V1_SX300.jpg,
Under the Riccione Sun,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",5.6,"3,393",,,Italian,"On holiday at Riccione beach, a group of teens get to know each other and help each other get through summer loves' heartache.",https://m.media-amazon.com/images/M/MV5BN2I1NGIyNzMtNDM2ZC00M2EwLWE5M2QtNWEwMzUzMDgxYjYzXkEyXkFqcGc@._V1_SX300.jpg,
BNA,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",7.1,"3,878",,,"Japanese, English","Morphed into a raccoon beastman, Michiru seeks refuge, and answers, with the aid of wolf beastman Shirou inside the special zone of Anima-City.",https://m.media-amazon.com/images/M/MV5BMzUxMzAxYTMtMmYzOS00YzYyLWE2ZDUtYmQxZDhiNWIxNDNiXkEyXkFqcGc@._V1_SX300.jpg,
George Lopez: We'll Do It For Half,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",5.8,500,,,English,"Comedian George Lopez tackles the future and the past of Hispanic culture in America, touching on immigration, his tough relatives, aging and much more.",https://m.media-amazon.com/images/M/MV5BYjA1ZGQ3ZjQtYjkyNi00NjZjLTg4NTUtMWNjOTA4Mzc2OGQwXkEyXkFqcGc@._V1_SX300.jpg,
Homemade,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",6.1,908,,,"English, Italian, Spanish","Confined at home as a consequence of the COVID-19 outbreak, filmmakers created personal, moving stories that capture our shared experience of life in quarantine.",https://m.media-amazon.com/images/M/MV5BYzFiYjQ2MGUtZWYwMS00NjRlLWIyMmEtMDhhNzhiNzc0YWNjXkEyXkFqcGc@._V1_SX300.jpg,
The Mirror Boy,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",4.8,155,,,English,"The Mirror Boy is a mystical journey through Africa, seen through the eyes of a 12 year old boy, Tijan. After a London street fight, in which a local boy is hurt, Tijan's mother decides to take him back to their roots, to Gambia. ...",https://m.media-amazon.com/images/M/MV5BMjExOTI1NDM5OV5BMl5BanBnXkFtZTcwMTE1OTgxNQ@@._V1_SX300.jpg,
#FriendButMarried 2,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",6.9,383,,,Indonesian,"Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.",https://m.media-amazon.com/images/M/MV5BZTVjOTIzODktMDcxNi00MTYwLTgyZDAtNjgyZjQzNWRhOWQ3XkEyXkFqcGc@._V1_SX300.jpg,
Skin,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",7.0,60,,,English,"Skin is a documentary about exploring through the meaning of beauty in all the different shades of black. Set in Lagos, Nollywood actress Beverly Naya goes on a journey to learn about contrasting perceptions of beauty by meeting i...",https://m.media-amazon.com/images/M/MV5BMzJmNTk4NjItY2YwNy00NTVjLWJjZmQtMjIzODY4MjhiZjE2XkEyXkFqcGc@._V1_SX300.jpg,
Thackeray (Marathi),"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",,,,,English,"Skin is a documentary about exploring through the meaning of beauty in all the different shades of black. Set in Lagos, Nollywood actress Beverly Naya goes on a journey to learn about contrasting perceptions of beauty by meeting i...",https://m.media-amazon.com/images/M/MV5BMzJmNTk4NjItY2YwNy00NTVjLWJjZmQtMjIzODY4MjhiZjE2XkEyXkFqcGc@._V1_SX300.jpg,
Dark,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",8.5,"67,268",,,Hindi,"Shubh returns for revenge and this season he takes the challenge to a whole new level. With the heroes fallen apart, will a desolate Dhananjay Rajpoot and a torn Nikhil Nair be able to stop him?",https://m.media-amazon.com/images/M/MV5BMDZkOGQzMjItNTliOC00NTIxLTg4ODEtNTMxZWY1OTk5ZWM0XkEyXkFqcGc@._V1_SX300.jpg,
Ride Like a Girl,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,,,,Hindi,"Shubh returns for revenge and this season he takes the challenge to a whole new level. With the heroes fallen apart, will a desolate Dhananjay Rajpoot and a torn Nikhil Nair be able to stop him?",https://m.media-amazon.com/images/M/MV5BMDZkOGQzMjItNTliOC00NTIxLTg4ODEtNTMxZWY1OTk5ZWM0XkEyXkFqcGc@._V1_SX300.jpg,
All For Love,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",6.8,300,,,Spanish,"Irene, singer of the market band 'Los Milagrosos', meets Joaquín, a mechanic arriving in town with only the clothes on his back. Their encounter sparks a profound connection.",https://m.media-amazon.com/images/M/MV5BZTczMGExYjUtM2JkYy00YWZjLWFhNGMtZTVmYTJkMDRiMTQyXkEyXkFqcGc@._V1_SX300.jpg,
Eurovision Song Contest: The Story of Fire Saga,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",6.5,"107,283",,50.0,"English, Icelandic, Portuguese, French","When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",https://m.media-amazon.com/images/M/MV5BMTFhODlhMGMtNTA4Yy00MjNhLWFiNjMtMTFkMjRkN2FmMjAyXkEyXkFqcGc@._V1_SX300.jpg,
Home Game,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",7.0,"1,003",,,English,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.",https://m.media-amazon.com/images/M/MV5BOGU1ODM1MmEtMDcyYS00N2I1LWE5YmYtNGU2NDc1ODJkYmVjXkEyXkFqcGc@._V1_SX300.jpg,
Kasanova,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",6.6,60,,,English,"A romantic comedy about a single dad who falls in love with the Mother of his sons Crush. It is a battle for love highlighting Family, friendship and love.",https://m.media-amazon.com/images/M/MV5BNjVhMzBhYmMtYjE3Yy00Yjc0LWE0YzAtZTQ3MmU0Y2QxYWIxXkEyXkFqcGc@._V1_SX300.jpg,
Ordinary People,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",7.3,991,,,"Tagalog, Filipino",Jane and Aries are teenage parents. They make a living out of stealing on the streets... until fate hits back at them.,https://m.media-amazon.com/images/M/MV5BOWVkMzU5ZGEtMDQwYS00MGYyLWFlZjgtYTkzYTMwMTIzMWI1XkEyXkFqcGc@._V1_SX300.jpg,
Seven (Tamil),"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,,,,"Tagalog, Filipino",Jane and Aries are teenage parents. They make a living out of stealing on the streets... until fate hits back at them.,https://m.media-amazon.com/images/M/MV5BOWVkMzU5ZGEtMDQwYS00MGYyLWFlZjgtYTkzYTMwMTIzMWI1XkEyXkFqcGc@._V1_SX300.jpg,
Seven (Telugu),"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,,,,"Tagalog, Filipino",Jane and Aries are teenage parents. They make a living out of stealing on the streets... until fate hits back at them.,https://m.media-amazon.com/images/M/MV5BOWVkMzU5ZGEtMDQwYS00MGYyLWFlZjgtYTkzYTMwMTIzMWI1XkEyXkFqcGc@._V1_SX300.jpg,
Thackeray (Hindi),"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,,,,"Tagalog, Filipino",Jane and Aries are teenage parents. They make a living out of stealing on the streets... until fate hits back at them.,https://m.media-amazon.com/images/M/MV5BOWVkMzU5ZGEtMDQwYS00MGYyLWFlZjgtYTkzYTMwMTIzMWI1XkEyXkFqcGc@._V1_SX300.jpg,
Twogether,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",8.4,588,,,"Mandarin, Korean","Paired together for an unforgettable trip across Asia, stars Lee Seung Gi and Jasper Liu become buddies as they connect with fans and local cultures.",https://m.media-amazon.com/images/M/MV5BMGE5MzFjYTYtMTY0My00M2Q3LWIyOGUtYjllNmUxMWNiOWNhXkEyXkFqcGc@._V1_SX300.jpg,
Krishna and His Leela,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",5.7,"1,731",,,Telugu,"Torn between his past and present girlfriends, a confused bachelor's indecisiveness spins a web of lies and cheating as he struggles to commit.",https://m.media-amazon.com/images/M/MV5BZWFkYWU4ZDMtZWJkZi00NzBmLTgyYmMtMmFiODFjM2Q4ZTczXkEyXkFqcGc@._V1_SX300.jpg,
Prem Ratan Dhan Payo,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}]",4.4,"24,141",,,Hindi,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",https://m.media-amazon.com/images/M/MV5BNDYxN2JkYjAtOTBiNS00MDE5LWI3YTYtNGZlMTRhODllY2JlXkEyXkFqcGc@._V1_SX300.jpg,
Vivah,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",6.7,"11,118",,,Hindi,"Poonam, a traditionally brought-up young woman, is to marry Prem, a groom chosen by her uncle. Poonam and Prem's faith and love are to be tested however, when an accident occurs and Poonam might be scarred for life.",https://m.media-amazon.com/images/M/MV5BMDA4MTg0OGQtMmVmNS00MzYzLWExOWEtNzFiNGE1ZjQ0MmRjXkEyXkFqcGc@._V1_SX300.jpg,
Athlete A,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",7.6,"13,126",,85.0,English,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.,https://m.media-amazon.com/images/M/MV5BODg3MjFlOGMtMjI0Yi00ZWM1LTk4YzUtMzMwYzExMzE5YmMwXkEyXkFqcGc@._V1_SX300.jpg,
Bulbbul,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",6.6,"15,209",,,Hindi,"A man returns home after years to find his brother's child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths.",https://m.media-amazon.com/images/M/MV5BNGMzNGE1YTEtNjg1NS00N2Q3LWJhOWItZDFmOWE2NjU4OGY3XkEyXkFqcGc@._V1_SX300.jpg,
Crazy Delicious,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",6.7,"1,197",,,English,"Carla Hall, Niklas Ekstedt and Heston Blumenthal will judge as three cooks will battle it out to create the best feast.The set will be entirely edible and will contain edible blossom, chocolate soil, and a drinkable babbling brook.",https://m.media-amazon.com/images/M/MV5BZDkwMDc4NzUtZWVhZC00Y2NmLWFjYjItYmRkNzI5YjYyMzAzXkEyXkFqcGc@._V1_SX300.jpg,
Nobody Knows I'm Here,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",6.5,"5,091",,64.0,"Spanish, English","Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?",https://m.media-amazon.com/images/M/MV5BYTQ3NDA2NWEtN2U0ZC00OWQ1LTgxNmUtY2QxN2ExNTkxOWU3XkEyXkFqcGc@._V1_SX300.jpg,
Eric Andre: Legalize Everything,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",6.2,"2,750",,,English,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",https://m.media-amazon.com/images/M/MV5BMTdiOWNiMzMtMDMxZC00NjVkLWE1YTUtNDUwM2VkMzVjM2VhXkEyXkFqcGc@._V1_SX300.jpg,
"Roswell, New Mexico","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,,,,English,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",https://m.media-amazon.com/images/M/MV5BMTdiOWNiMzMtMDMxZC00NjVkLWE1YTUtNDUwM2VkMzVjM2VhXkEyXkFqcGc@._V1_SX300.jpg,
Kappela,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",7.5,"3,756",,,Malayalam,"Set in the village areas of Wayanad, Malappuram and Kannur, Kappela revolves around an ordinary, innocent girl who comes to Kozhikode city from a high range area called Poovarmala.",https://m.media-amazon.com/images/M/MV5BN2FmNTJjZGUtZGRiYS00ZjU5LWFhZTktYjE1MjFiZjcxYTAwXkEyXkFqcGc@._V1_SX300.jpg,
The Royal Hibiscus Hotel,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",5.3,316,,,English,A disillusioned London chef visits Nigeria and struggles with her matchmaking mother and restoring the family's rundown hotel. She's heartbroken when she discovers the man she loves is buying it.,https://m.media-amazon.com/images/M/MV5BZTQ4NzY3N2ItZWQxMy00NjZjLWI1MGYtNjM4NGFjMmVkOTg2XkEyXkFqcGdeQXVyNTEzODczMzU@._V1_SX300.jpg,
It's Okay to Not Be Okay,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",8.6,"42,120",,,Korean,An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths.,https://m.media-amazon.com/images/M/MV5BNzZmOWMwNjktNzdkOC00MDcxLWE3YTItNzIwOTRjOGFlYWZlXkEyXkFqcGc@._V1_SX300.jpg,
Woodshock,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",4.2,"2,510",,39.0,English,"A woman, consumed by profound grief after a personal loss, aided by a potent drug meant for the terminally ill, delves into her psyche for solace set in the hauntingly beautiful redwood forests.",https://m.media-amazon.com/images/M/MV5BMTYzNTU0MzQ0Ml5BMl5BanBnXkFtZTgwNjA0NTc5MjI@._V1_SX300.jpg,
Elevator Baby,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",5.5,148,,,English,"A chance encounter brings a brash, wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.",https://m.media-amazon.com/images/M/MV5BODkzMzE3YTYtNjVjZi00NTI3LWI5NWMtMzJlMzM0MTQ2MGE3XkEyXkFqcGc@._V1_SX300.jpg,
Babies,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",6.9,922,,,English,A look at how infants learn and discover during their first year of life.,https://m.media-amazon.com/images/M/MV5BNzBlZmFiOTYtZWMwNC00OGViLTg4MDItYjU0NTgxMmM1MTYwXkEyXkFqcGc@._V1_SX300.jpg,
Chaman Bahaar,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",6.9,"11,084",,,Hindi,"A small town panwalla falls for a schoolgirl who lives opposite his shop. He experiences love, jealousy and betrayal without meeting her even once.",https://m.media-amazon.com/images/M/MV5BNWY3MWYxNTEtNWI4NC00M2M5LWE2ZjAtMjYyMDI4Y2Y4ZjdkXkEyXkFqcGc@._V1_SX300.jpg,
Destiny,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",7.2,"3,263",,,"Arabic, French","The story is set in the 12th century in Arab-ruled Spanish province Andalusia, where famed philosopher Averroes is appointed grand judge by the caliph and his liberal court judgments are not liked by everyone. The caliph's politic...",https://m.media-amazon.com/images/M/MV5BMTQ1ODBlMjUtYmQ5YS00MTE2LWFiZDktOWMwZWU0OTRiNjIxXkEyXkFqcGc@._V1_SX300.jpg,
Disclosure,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",8.2,"6,205",,79.0,,An in-depth look at Hollywood's depiction of transgender people and the impact of those stories on transgender lives and American culture.,https://m.media-amazon.com/images/M/MV5BZWI3NmE0YWItNzg0Mi00NDcwLWFjNzAtNDM3MzZjMDcwNzMyXkEyXkFqcGc@._V1_SX300.jpg,
Feel the Beat,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}]",6.3,"14,201",,,"English, American Sign ","After failing to find success on Broadway, April returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.",https://m.media-amazon.com/images/M/MV5BMDdmNTk4ODEtYjQwMS00MzllLWI0YTEtNjEyMDQ0NGVlYTBlXkEyXkFqcGc@._V1_SX300.jpg,
Floor Is Lava,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",5.4,"3,006",,,English,"Teams compete to navigate rooms flooded with lava by leaping from chairs, hanging from curtains and swinging from chandeliers.",https://m.media-amazon.com/images/M/MV5BMTVmN2RiN2MtZTE3My00NDA1LWFhMDQtYjllZjBhZGY4MGE3XkEyXkFqcGc@._V1_SX300.jpg,
Lost Bullet,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",6.3,"16,070",,78.0,"French, English","A small time delinquent, turned police mechanic for a go fast task force, is forced to defend his innocence when his mentor is killed by dirty cops.",https://m.media-amazon.com/images/M/MV5BY2M0MDA2MDAtYTUyNC00NGFlLTllYTEtMDE3NTlkMWM4ZTQ0XkEyXkFqcGc@._V1_SX300.jpg,
Most Beautiful Thing,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",7.5,328,,79.0,English,"Narrated by Common, this film chronicles the first African American high school rowing team in this country (made up of young men, many of whom were in rival gangs from the West Side of Chicago, coming together to row in the same ...",https://m.media-amazon.com/images/M/MV5BYjBhZGRlOTItNDI3OS00OWE3LWIyYTYtN2I1YTE0MmVhM2JiXkEyXkFqcGc@._V1_SX300.jpg,
One-Way to Tomorrow,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",5.6,"5,564",,,Turkish,A romantic story of two strangers who come across each other on a journey from Ankara to Izmir.,https://m.media-amazon.com/images/M/MV5BMDQzMmRmMzktY2NjZC00N2Q4LWJmN2QtNThhOThkYWJhYWQ1XkEyXkFqcGc@._V1_SX300.jpg,
The Emigrant,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,,,,Turkish,A romantic story of two strangers who come across each other on a journey from Ankara to Izmir.,https://m.media-amazon.com/images/M/MV5BMDQzMmRmMzktY2NjZC00N2Q4LWJmN2QtNThhOThkYWJhYWQ1XkEyXkFqcGc@._V1_SX300.jpg,
The Politician,[],,,,,Hindi,,https://m.media-amazon.com/images/M/MV5BNzk3NTE4MTMtODYyOC00NDU3LWFiZmItYjI0NmRiNGU5N2RkXkEyXkFqcGc@._V1_SX300.jpg,
Wasp Network,[],,,,,Hindi,,https://m.media-amazon.com/images/M/MV5BNzk3NTE4MTMtODYyOC00NDU3LWFiZmItYjI0NmRiNGU5N2RkXkEyXkFqcGc@._V1_SX300.jpg,
A Whisker Away,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",6.7,"16,698",,,Japanese,"Miyo Sasaki is in love with her classmate Kento Hinode and tries repeatedly to get Kento's attention by transforming into a cat, but at some point, the boundary between herself and the cat becomes ambiguous.",https://m.media-amazon.com/images/M/MV5BZjEyNGY0MTYtYjE4ZC00MDI1LWJmNjgtMzA2MjhhOGY2ZDhjXkEyXkFqcGc@._V1_SX300.jpg,
Alexandria ... Why?,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",7.2,"1,983",,,"Arabic, English","Yehia is a young man living in the cosmopolitan Alexandria during World War II. Inspired by American movies and Shakespeare, he aspires to be an actor, but struggles to pursue his Hollywood dream, given the constraints of his life...",https://m.media-amazon.com/images/M/MV5BYjcxZDA3ZjYtNDYyMi00NjYxLTgzNTItYmIzYTNhMjlhZmRmXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,
Alexandria: Again and Forever,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",6.5,811,,,Arabic,"During a hunger strike by the Egyptian film industry, Yehia, a famous Egyptian director, finds himself obsessed with Amir, the leading man in one of his movies, and Nadia, a woman he desires to work with.",https://m.media-amazon.com/images/M/MV5BMWYxNzdlOGYtOTliMC00Mzc1LWE4MjMtYjkxZjlhOWY3ZWQ1XkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,
An Egyptian Story,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.3,"1,370",,,"Arabic, English","In the middle of his own heart surgery, an Egyptian filmmaker remembers his life. In fact his old self, as a child, is accused of the attempted murder of his new self. Through the metaphoric trial, we are drawn into his life in re...",https://m.media-amazon.com/images/M/MV5BYzc4ZjYwZTQtZjU5Yy00MDUyLTkzMGQtM2QyNzU5YjI0ZDg1XkEyXkFqcGc@._V1_SX300.jpg,
Cairo Station,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.5,"5,565",,,Arabic,A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.,https://m.media-amazon.com/images/M/MV5BYTRjN2JiMGUtMGM4YS00OWIxLWE5YTItNTkxYWNlN2ExY2UyXkEyXkFqcGc@._V1_SX300.jpg,
Dark Waters,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",6.7,760,,,Arabic,"After three years of absence, back (Recep) after a long travel trip spent on the back of one of the ships in an effort to save money in order to complete his marriage b (benign), who lives with his mother in a shack built on the s...",https://m.media-amazon.com/images/M/MV5BNmUyY2U1MzYtYmIxYi00MzRjLTg4ZjktNzRjYjQwYTlhMzVlXkEyXkFqcGdeQXVyMjg0MzMwNzg@._V1_SX300.jpg,
